id_player,player_abilities
231747,Finesse Shot
231747,Rapid
231747,Flair
231747,Trivela
231747,Acrobatic
231747,Quick Step+
231866,Power Shot
231866,Long Ball Pass
231866,Bruiser
231866,Press Proven
231866,Aerial
231866,Tiki Taka+
241667,Finesse Shot
241667,Incisive Pass
241667,Pinged Pass
241667,Tiki Taka
241667,First Touch
241667,Relentless
241667,Technical+
239085,Power Shot
239085,Power Header
239085,Bruiser
239085,Press Proven
239085,Acrobatic+
252371,Intercept
252371,Slide Tackle
252371,Technical
252371,Flair
252371,Relentless+
227203,Finesse Shot
227203,Incisive Pass
227203,Pinged Pass
227203,Tiki Taka
227203,Technical
227203,Flair
227203,First Touch+
238794,Finesse Shot
238794,Chip Shot
238794,Rapid
238794,Flair
238794,First Touch
238794,Trivela
238794,Quick Step+
227102,Finesse Shot
227102,Technical
227102,Flair
227102,First Touch
227102,Quick Step
227102,Trivela
227102,Trickster+
192985,Dead Ball
192985,Pinged Pass
192985,Long Ball Pass
192985,Whipped Pass
192985,Trivela
192985,Incisive Pass+
227125,Power Header
227125,Rapid
227125,Quick Step
227125,Acrobatic
227125,Aerial
227125,Finesse Shot+
202126,Power Header
202126,Incisive Pass
202126,Long Ball Pass
202126,First Touch
202126,Trivela
202126,Finesse Shot+
222665,Pinged Pass
222665,Whipped Pass
222665,Technical
222665,Flair
222665,First Touch
222665,Trivela
222665,Incisive Pass+
230621,Footwork
230621,Deflector+
264012,Finesse Shot
264012,Technical
264012,Flair
264012,Trickster
264012,Quick Step
264012,First Touch+
212831,Far Throw
212831,1v1 Close Down
212831,Deflector+
192119,Far Throw
192119,Cross Claimer
192119,1v1 Close Down+
227310,Technical
227310,First Touch
227310,Trivela
227310,Aerial
231478,Power Shot
231478,Technical
231478,Relentless
231478,Finesse Shot+
236479,Long Ball Pass
236479,Jockey
236479,Block
236479,Anticipate
236479,Slide Tackle
236479,Intercept+
203376,Power Header
203376,Long Ball Pass
203376,Jockey
203376,Block
203376,Anticipate
203376,Bruiser
203376,Aerial+
192448,1v1 Close Down
192448,Footwork+
209331,Chip Shot
209331,Rapid
209331,Trivela
209331,Finesse Shot+
237692,Flair
237692,First Touch
237692,Technical+
246272,Press Proven
246272,Trivela
246272,Aerial
246272,Power Header+
158023,Finesse Shot
158023,Dead Ball
158023,Incisive Pass
158023,Tiki Taka
158023,Quick Step
158023,Trivela
158023,Technical+
226893,Technical
226893,Flair
226893,First Touch
226893,Quick Step
226893,Trivela
226893,Acrobatic
226893,Trickster+
227361,Technical
227361,Flair
227361,Quick Step
227361,Trivela
194765,Chip Shot
194765,Incisive Pass
194765,Technical
194765,Flair
194765,Trivela
194765,Acrobatic
194765,Finesse Shot+
239818,Power Header
239818,Bruiser+
188545,Finesse Shot
188545,Power Shot
188545,Power Header
188545,Incisive Pass
188545,First Touch
188545,Trivela
188545,Chip Shot+
237289,Finesse Shot
237289,Incisive Pass
237289,Tiki Taka
237289,Flair
237289,First Touch
237289,Press Proven
237289,Long Ball Pass+
239053,Long Ball Pass
239053,Rapid
