id_player,stat_acceleration,stat_agility,stat_jumping,stat_stamina,stat_strength,stat_aggression,stat_balance,stat_ballControl,stat_composure,stat_crossing,stat_curve,stat_def,stat_defensiveAwareness,stat_dri,stat_dribbling,stat_finishing,stat_freeKickAccuracy,stat_gkDiving,stat_gkHandling,stat_gkKicking,stat_gkPositioning,stat_gkReflexes,stat_headingAccuracy,stat_interceptions,stat_longPassing,stat_longShots,stat_pac,stat_pas,stat_penalties,stat_phy,stat_positioning,stat_reactions,stat_sho,stat_shortPassing,stat_shotPower,stat_slidingTackle,stat_sprintSpeed,stat_standingTackle,stat_vision,stat_volleys
231747,97,93,88,88,77,64,82,92,88,78,80,36,26,92,93,94,69,13,5,7,11,6,73,38,71,83,97,80,84,78,93,93,90,86,90,32,97,34,83,84
231866,65,66,83,91,83,85,67,90,94,76,86,87,92,84,84,74,64,10,10,7,14,8,81,84,91,89,66,86,62,85,76,93,80,93,92,82,66,87,84,71
241667,82,93,75,82,75,64,86,91,85,74,78,77,75,91,92,91,77,9,15,11,12,14,54,88,90,89,81,86,70,75,91,91,86,91,79,67,80,81,90,70
239085,80,77,92,76,93,88,69,83,87,58,77,45,38,81,79,96,62,7,14,13,11,7,83,43,66,83,88,70,90,88,96,94,92,77,94,29,94,47,74,90
252371,81,82,84,93,77,85,79,89,87,66,73,78,77,88,89,90,68,14,11,10,5,8,75,82,89,86,80,83,74,83,91,91,87,89,85,77,80,79,90,77
227203,81,90,84,85,78,70,89,92,92,88,89,72,60,91,90,91,89,15,17,11,15,10,74,78,90,89,82,90,89,78,91,90,89,91,86,64,82,81,91,90
238794,95,94,74,84,65,58,84,90,83,81,79,29,32,91,93,89,62,5,7,7,7,10,50,26,77,83,95,81,71,69,87,86,84,83,81,18,95,25,85,73
227102,90,94,84,87,74,66,75,90,84,90,92,47,45,90,93,86,77,17,11,15,13,9,71,35,84,89,89,88,79,76,87,83,87,89,88,46,88,50,89,83
192985,67,75,71,88,75,75,78,92,88,95,93,65,66,87,86,84,83,15,13,5,10,13,55,66,93,90,67,94,83,78,88,92,87,94,92,53,67,70,95,83
227125,86,90,89,87,86,70,82,91,91,70,76,42,44,90,90,92,68,7,12,8,16,13,93,24,67,85,85,74,71,83,92,89,88,78,85,30,84,39,79,92
202126,64,66,87,75,86,80,73,87,92,80,82,49,46,83,82,95,69,8,10,11,14,11,91,42,88,89,65,84,93,82,94,94,93,86,94,38,66,46,86,89
222665,72,85,66,88,56,64,83,91,87,86,84,67,68,89,89,83,85,14,15,15,8,10,55,69,89,84,70,89,68,66,84,91,82,91,82,57,69,72,91,79
230621,50,57,73,41,75,30,38,30,65,12,12,52,21,90,28,12,14,90,84,73,87,90,12,26,34,18,90,73,24,87,14,84,84,36,55,16,55,14,60,8
